window,outcome,xset,term,beta,se,p,n,r2_within
w1_2,elec_access,aidtype,share_aidtype_budget_support,0.8342715999040035,1.8912626657713425,0.6591540004625531,3704,0.3902271951487424
w1_2,elec_access,aidtype,share_aidtype_project,-0.5836769067281772,1.4734410263744817,0.6920317318004208,3704,0.3902271951487424
w1_2,elec_access,aidtype,share_aidtype_pooled_earmarked,4.463485821751941,11.015407383424929,0.685352227952075,3704,0.3902271951487424
w1_2,elec_access,aidtype,share_aidtype_ngo_core,-31.171004135883823,20.361779757579228,0.12589404269875137,3704,0.3902271951487424
w1_2,elec_access,aidtype,share_aidtype_scholarships_students,-8.474498539284818,6.689081853380575,0.20526931424127115,3704,0.3902271951487424
w1_2,elec_access,aidtype,share_aidtype_admin_refugee_awareness,-56.40180864783484,27.59774807605842,0.04105629132478272,3704,0.3902271951487424
w1_2,elec_access,channel,share_channel_public_recipient,-0.11124048071090833,4.450500446454966,0.9800603251857909,3704,0.29902209829648485
w1_2,elec_access,channel,share_channel_public_donor,-9.73602631523482,6.533731990600583,0.13628279332041537,3704,0.29902209829648485
w1_2,elec_access,channel,share_channel_ngo,-4.835382157000157,8.771439588069054,0.5814873560394478,3704,0.29902209829648485
w1_2,elec_access,channel,share_channel_multilateral,-8.49411142490786,4.57689214288792,0.06355556617544655,3704,0.29902209829648485
w1_2,elec_access,channel,share_channel_private_recipient,-18.654213350511817,7.006166206483172,0.007790478123591127,3704,0.29902209829648485
w1_2,elec_access,finance,share_finance_grant,-2.7212185662363315,1.0231672168451396,0.007858613887033794,3704,0.42404216979087217
w1_2,elec_access,finance,share_finance_loan,3.6334083703976563,1.9349899880251853,0.060499058073954615,3704,0.42404216979087217
w1_2,elec_access,extra,share_tc_usd_irtc,6.346870356637978,9.594450044780736,0.5083254006387632,3704,0.4249205823472916
w1_2,elec_access,extra,share_untied,-0.44270241984164677,0.9633838328732615,0.6458829035778153,3704,0.4249205823472916
w3_5,log_gdppc,aidtype,share_aidtype_technical_cooperation,-0.20307998838150562,0.17734715098760426,0.25224976685461464,3538,0.13046843761542548
w3_5,log_gdppc,aidtype,share_aidtype_budget_support,-0.0672926540164928,0.05451620867846679,0.21715484992415268,3538,0.13046843761542548
w3_5,log_gdppc,aidtype,share_aidtype_project,0.03029173444597874,0.03977246187366377,0.44633675695663855,3538,0.13046843761542548
w3_5,log_gdppc,aidtype,share_aidtype_pooled_earmarked,-0.37065437363346065,0.1892854103280947,0.05029178239852894,3538,0.13046843761542548
w3_5,log_gdppc,aidtype,share_aidtype_ngo_core,-0.9647678333016831,0.5378458997010647,0.07294088207966376,3538,0.13046843761542548
w3_5,log_gdppc,aidtype,share_aidtype_scholarships_students,-0.22806219996204993,0.2151189615099105,0.2891443927994539,3538,0.13046843761542548
w3_5,log_gdppc,aidtype,share_aidtype_admin_refugee_awareness,-2.585335730342717,0.5565210233705732,3.5220623235687754e-06,3538,0.13046843761542548
w3_5,log_gdppc,channel,share_channel_public_recipient,0.2529560533310014,0.0713272694703608,0.000395836570844299,3538,0.3504924082573314
w3_5,log_gdppc,channel,share_channel_public_donor,-0.1451734766361738,0.09618232422362026,0.1313014278421749,3538,0.3504924082573314
w3_5,log_gdppc,channel,share_channel_ngo,-0.08959286380137539,0.2917039688381104,0.758758670207111,3538,0.3504924082573314
w3_5,log_gdppc,channel,share_channel_multilateral,-0.08430811511542861,0.08543142251069175,0.32378646549982326,3538,0.3504924082573314
w3_5,log_gdppc,channel,share_channel_private_recipient,-0.16982755586200762,0.25412084074815594,0.5039914708344946,3538,0.3504924082573314
w3_5,log_gdppc,finance,share_finance_grant,0.02831329979904687,0.03331389089480603,0.39544403426654595,3538,0.2439835976923609
w3_5,log_gdppc,finance,share_finance_loan,0.0969059049010864,0.05759380955907777,0.09255008302501988,3538,0.2439835976923609
w3_5,log_gdppc,extra,share_tc_usd_irtc,-0.10284890359177497,0.16028766357372384,0.5211428113430601,3538,0.2500756157125449
w3_5,log_gdppc,extra,share_untied,-0.035569359517787245,0.030083018102443796,0.23714104964778393,3538,0.2500756157125449
w3_5,gfcf_gdp,aidtype,share_aidtype_technical_cooperation,-0.6380903019990157,7.613968070419988,0.9332173873572942,2913,-0.13954027540915526
