window,outcome,term,beta,se,p,n
w3_5,elec_access,share_aidtype_scholarships_students,-8.491483427005024,7.181727176108756,0.2371402388890031,3575
w3_5,elec_access,share_aidtype_admin_refugee_awareness,-57.12467374227883,27.6547839153465,0.0389386166320693,3575
w6_10,log_gdppc,share_aidtype_technical_cooperation,-0.5269919858554301,0.2753457795910948,0.0557253101052941,3143
w6_10,log_gdppc,share_aidtype_budget_support,-0.0069157355057906,0.0538251974940318,0.8977737879477019,3143
w6_10,log_gdppc,share_aidtype_project,-0.0029200249862838,0.0376104044192036,0.9381206393972414,3143
w6_10,log_gdppc,share_aidtype_pooled_earmarked,-0.4948006413100558,0.2015181969130515,0.0141310636709202,3143
w6_10,log_gdppc,share_aidtype_ngo_core,-0.2386934453110523,0.5499206445200794,0.6642831251495394,3143
w6_10,log_gdppc,share_aidtype_scholarships_students,-0.4218997671890589,0.208480742829127,0.0430916856868588,3143
w6_10,log_gdppc,share_aidtype_admin_refugee_awareness,-2.859767130915974,0.4469144967777662,1.8118018196844327e-10,3143
w6_10,gfcf_gdp,share_aidtype_technical_cooperation,-2.6082854214984947,6.816312757489298,0.7020094776302259,2641
w6_10,gfcf_gdp,share_aidtype_budget_support,-0.3265889911701081,1.2857366714022185,0.7995094365598165,2641
w6_10,gfcf_gdp,share_aidtype_project,-2.2838136102732274,1.454041558339027,0.1163875652094121,2641
w6_10,gfcf_gdp,share_aidtype_pooled_earmarked,-7.044314162000056,7.617796944239995,0.35520238529176,2641
w6_10,gfcf_gdp,share_aidtype_ngo_core,37.70932557454755,19.9924468678323,0.0593874054887813,2641
w6_10,gfcf_gdp,share_aidtype_scholarships_students,-3.4436591088900053,5.2559727080739576,0.5124062781388916,2641
w6_10,gfcf_gdp,share_aidtype_admin_refugee_awareness,-21.65659683321937,22.16581206372407,0.3286508875817877,2641
w6_10,manf_gdp,share_aidtype_technical_cooperation,-1.5748803662180637,2.408649907219372,0.5132673510746453,2911
w6_10,manf_gdp,share_aidtype_budget_support,-1.215547738626491,0.5161334219877238,0.0185875809707185,2911
w6_10,manf_gdp,share_aidtype_project,-0.8206204869729542,0.5025965650375794,0.1026338310453451,2911
w6_10,manf_gdp,share_aidtype_pooled_earmarked,-0.7486150529689317,2.4942199927118045,0.7640931458649933,2911
w6_10,manf_gdp,share_aidtype_ngo_core,6.18623507078367,7.965001573042834,0.4374161891772135,2911
w6_10,manf_gdp,share_aidtype_scholarships_students,2.0714840516071877,3.149488661097204,0.5107727539846678,2911
w6_10,manf_gdp,share_aidtype_admin_refugee_awareness,7.452769550211512,15.37422699506688,0.6278871721698049,2911
w6_10,tax_gdp,share_aidtype_technical_cooperation,-18.404328371181485,12.915071888208342,0.1543175702730437,1995
w6_10,tax_gdp,share_aidtype_budget_support,2.205191514269816,1.490551265931363,0.1391906966453759,1995
w6_10,tax_gdp,share_aidtype_project,-0.7963971872528327,0.7314240688373288,0.276369861336625,1995
w6_10,tax_gdp,share_aidtype_pooled_earmarked,-4.940013567655964,4.128268308130436,0.2316033503584078,1995
w6_10,tax_gdp,share_aidtype_ngo_core,35.02238967921907,21.751993516930792,0.1075511368897745,1995
w6_10,tax_gdp,share_aidtype_scholarships_students,-6.5138321160537735,3.9529955993628394,0.0995586096951774,1995
w6_10,tax_gdp,share_aidtype_admin_refugee_awareness,-4.072423881830713,13.462069435542697,0.7622964767408531,1995
w6_10,elec_access,share_aidtype_technical_cooperation,1.3258182297499488,15.98995187364006,0.9339240656223872,3187
w6_10,elec_access,share_aidtype_budget_support,-3.107885468033569,1.7612507716721142,0.0777339363517772,3187
w6_10,elec_access,share_aidtype_project,-1.1556201212372306,1.3725300239676064,0.3998751879088902,3187
w6_10,elec_access,share_aidtype_pooled_earmarked,-2.4990665170790827,6.590035758772193,0.7045519767518829,3187
w6_10,elec_access,share_aidtype_ngo_core,5.738228952403622,30.493255407697603,0.8507480046166929,3187
w6_10,elec_access,share_aidtype_scholarships_students,-10.391210590470155,6.827651044058638,0.1281313547197922,3187
w6_10,elec_access,share_aidtype_admin_refugee_awareness,-48.73090274079823,27.31129340688958,0.0744792557352154,3187
w11_15,log_gdppc,share_aidtype_technical_cooperation,-0.3934611352416037,0.2507831876241524,0.1168012145586105,2478
w11_15,log_gdppc,share_aidtype_budget_support,0.0201654559929276,0.0492170105363148,0.6820454028790679,2478
w11_15,log_gdppc,share_aidtype_project,-0.032362034643629,0.0422688755086122,0.4439786459185055,2478
